Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USDT,tradecount
1739663940000,2025-02-15 23:59:00,XRPUSDT,2.7617,2.7626,2.7617,2.7619,31723.0,87619.0572,280
1739663880000,2025-02-15 23:58:00,XRPUSDT,2.7623,2.7628,2.7618,2.7618,70951.0,195997.9914,475
1739663820000,2025-02-15 23:57:00,XRPUSDT,2.761,2.7628,2.7607,2.7623,62297.0,172037.5824,763
1739663760000,2025-02-15 23:56:00,XRPUSDT,2.7557,2.7609,2.7557,2.7609,80306.0,221476.7858,872
1739663700000,2025-02-15 23:55:00,XRPUSDT,2.76,2.7601,2.7555,2.7558,147931.0,407853.181,1089
1739663640000,2025-02-15 23:54:00,XRPUSDT,2.7613,2.7613,2.76,2.76,10004.0,27619.242,247
1739663580000,2025-02-15 23:53:00,XRPUSDT,2.7636,2.7643,2.7612,2.7613,82229.0,227236.3904,700
1739663520000,2025-02-15 23:52:00,XRPUSDT,2.76,2.7641,2.76,2.7636,39278.0,108507.7891,688
1739663460000,2025-02-15 23:51:00,XRPUSDT,2.7617,2.7619,2.76,2.76,54060.0,149227.8425,748
1739663400000,2025-02-15 23:50:00,XRPUSDT,2.7635,2.7635,2.7612,2.7617,51931.0,143445.1041,686
1739663340000,2025-02-15 23:49:00,XRPUSDT,2.7627,2.7653,2.7627,2.7635,362505.0,1002215.8304,904
1739663280000,2025-02-15 23:48:00,XRPUSDT,2.7602,2.7632,2.7602,2.7627,40861.0,112844.5503,502
1739663220000,2025-02-15 23:47:00,XRPUSDT,2.7584,2.7605,2.7584,2.7601,28751.0,79339.2645,370
1739663160000,2025-02-15 23:46:00,XRPUSDT,2.762,2.762,2.7584,2.7584,32222.0,88916.4403,541
1739663100000,2025-02-15 23:45:00,XRPUSDT,2.7613,2.7652,2.7613,2.7619,64233.0,177462.3264,1164
1739663040000,2025-02-15 23:44:00,XRPUSDT,2.7604,2.7613,2.7601,2.7613,23004.0,63503.2317,489
1739662980000,2025-02-15 23:43:00,XRPUSDT,2.7629,2.7634,2.7603,2.7605,30570.0,84436.8714,722
1739662920000,2025-02-15 23:42:00,XRPUSDT,2.763,2.763,2.7615,2.7629,50047.0,138256.7897,669
1739662860000,2025-02-15 23:41:00,XRPUSDT,2.7624,2.7633,2.7623,2.763,7590.0,20970.0728,379
1739662800000,2025-02-15 23:40:00,XRPUSDT,2.7617,2.7632,2.7611,2.7623,34572.0,95483.3365,706
1739662740000,2025-02-15 23:39:00,XRPUSDT,2.7615,2.763,2.7613,2.7616,34587.0,95530.2089,764
1739662680000,2025-02-15 23:38:00,XRPUSDT,2.7622,2.7622,2.7611,2.7614,68000.0,187769.8454,286
1739662620000,2025-02-15 23:37:00,XRPUSDT,2.7636,2.7636,2.7621,2.7621,57036.0,157592.7018,541
1739662560000,2025-02-15 23:36:00,XRPUSDT,2.7593,2.7636,2.7593,2.7635,54524.0,150531.0253,670
1739662500000,2025-02-15 23:35:00,XRPUSDT,2.7609,2.761,2.7584,2.7593,16758.0,46246.5156,952
1739662440000,2025-02-15 23:34:00,XRPUSDT,2.763,2.763,2.7604,2.7609,139020.0,383967.0555,790
1739662380000,2025-02-15 23:33:00,XRPUSDT,2.7624,2.7656,2.7624,2.7631,53513.0,147909.8291,1080
1739662320000,2025-02-15 23:32:00,XRPUSDT,2.7616,2.7625,2.7611,2.7623,27652.0,76370.3559,349
1739662260000,2025-02-15 23:31:00,XRPUSDT,2.7586,2.7626,2.7586,2.7616,29866.0,82441.098,602
1739662200000,2025-02-15 23:30:00,XRPUSDT,2.7583,2.7587,2.7566,2.7585,202679.0,558916.8722,1283
1739662140000,2025-02-15 23:29:00,XRPUSDT,2.7593,2.7601,2.7573,2.7582,99698.0,275044.1145,837
1739662080000,2025-02-15 23:28:00,XRPUSDT,2.7598,2.7602,2.759,2.7592,25178.0,69483.3004,302
1739662020000,2025-02-15 23:27:00,XRPUSDT,2.7612,2.7613,2.7593,2.7599,46233.0,127604.2609,533
1739661960000,2025-02-15 23:26:00,XRPUSDT,2.7613,2.7623,2.7608,2.7613,51512.0,142256.3656,673
1739661900000,2025-02-15 23:25:00,XRPUSDT,2.761,2.7622,2.7607,2.7614,31782.0,87769.0376,540
1739661840000,2025-02-15 23:24:00,XRPUSDT,2.7634,2.7634,2.7607,2.761,124128.0,342780.5839,803
1739661780000,2025-02-15 23:23:00,XRPUSDT,2.7625,2.7639,2.7621,2.7635,22428.0,61960.0339,348
1739661720000,2025-02-15 23:22:00,XRPUSDT,2.7634,2.7641,2.7625,2.7625,56341.0,155687.471,1064
1739661660000,2025-02-15 23:21:00,XRPUSDT,2.7606,2.7636,2.7606,2.7635,71875.0,198541.8263,1095
1739661600000,2025-02-15 23:20:00,XRPUSDT,2.759,2.7606,2.7588,2.7605,70344.0,194120.1541,832
1739661540000,2025-02-15 23:19:00,XRPUSDT,2.7582,2.7592,2.7581,2.7591,37694.0,103990.3904,566
1739661480000,2025-02-15 23:18:00,XRPUSDT,2.7546,2.7596,2.7545,2.7582,130850.0,360800.4562,1477
1739661420000,2025-02-15 23:17:00,XRPUSDT,2.7557,2.7557,2.7531,2.7547,82325.0,226758.333,971
1739661360000,2025-02-15 23:16:00,XRPUSDT,2.7555,2.7564,2.7552,2.7557,53328.0,146969.1736,576
1739661300000,2025-02-15 23:15:00,XRPUSDT,2.7538,2.7578,2.7537,2.7554,58033.0,159941.0193,1276
1739661240000,2025-02-15 23:14:00,XRPUSDT,2.7526,2.7542,2.752,2.7538,23537.0,64792.6905,615
1739661180000,2025-02-15 23:13:00,XRPUSDT,2.7519,2.7529,2.7515,2.7525,51797.0,142563.3394,696
1739661120000,2025-02-15 23:12:00,XRPUSDT,2.7541,2.7546,2.7518,2.7518,56955.0,156840.2877,560
1739661060000,2025-02-15 23:11:00,XRPUSDT,2.7524,2.7544,2.7519,2.7541,144678.0,398372.9392,943
1739661000000,2025-02-15 23:10:00,XRPUSDT,2.7524,2.7526,2.75,2.7524,89099.0,245176.6659,1195
1739660940000,2025-02-15 23:09:00,XRPUSDT,2.7494,2.7525,2.7494,2.7524,35665.0,98136.5343,472
1739660880000,2025-02-15 23:08:00,XRPUSDT,2.7498,2.7498,2.748,2.7494,29474.0,81029.0092,840
1739660820000,2025-02-15 23:07:00,XRPUSDT,2.7485,2.75,2.7479,2.7498,20369.0,55988.9001,958
1739660760000,2025-02-15 23:06:00,XRPUSDT,2.7471,2.7489,2.7466,2.7485,24761.0,68039.4897,727
1739660700000,2025-02-15 23:05:00,XRPUSDT,2.7462,2.7474,2.745,2.747,48742.0,133882.6839,686
1739660640000,2025-02-15 23:04:00,XRPUSDT,2.7465,2.747,2.7446,2.7463,78706.0,216101.371,2767
1739660580000,2025-02-15 23:03:00,XRPUSDT,2.7478,2.7483,2.7454,2.7465,39570.0,108707.9842,1979
1739660520000,2025-02-15 23:02:00,XRPUSDT,2.7504,2.7505,2.7462,2.7478,92328.0,253771.1534,3086
1739660460000,2025-02-15 23:01:00,XRPUSDT,2.7435,2.7515,2.7434,2.7504,68125.0,187202.3358,2146
1739660400000,2025-02-15 23:00:00,XRPUSDT,2.7471,2.7474,2.7428,2.7436,24527.0,67323.5571,1064
1739660340000,2025-02-15 22:59:00,XRPUSDT,2.7473,2.748,2.7458,2.7471,14622.0,40169.3931,652
1739660280000,2025-02-15 22:58:00,XRPUSDT,2.7459,2.7503,2.7441,2.7474,34916.0,95940.4999,1100
1739660220000,2025-02-15 22:57:00,XRPUSDT,2.7461,2.7461,2.742,2.7459,35380.0,97106.9261,665
1739660160000,2025-02-15 22:56:00,XRPUSDT,2.7463,2.7469,2.7441,2.7461,136817.0,375630.9559,1079
1739660100000,2025-02-15 22:55:00,XRPUSDT,2.7437,2.7463,2.7434,2.7463,33767.0,92703.4725,519
1739660040000,2025-02-15 22:54:00,XRPUSDT,2.743,2.744,2.742,2.7437,12412.0,34046.0112,562
1739659980000,2025-02-15 22:53:00,XRPUSDT,2.7406,2.7435,2.7394,2.7429,78507.0,215260.2277,636
1739659920000,2025-02-15 22:52:00,XRPUSDT,2.7406,2.7408,2.7403,2.7406,7819.0,21428.6677,177
1739659860000,2025-02-15 22:51:00,XRPUSDT,2.7416,2.7416,2.7391,2.7406,19036.0,52163.4003,594
1739659800000,2025-02-15 22:50:00,XRPUSDT,2.741,2.7416,2.741,2.7416,3924.0,10756.8604,245
1739659740000,2025-02-15 22:49:00,XRPUSDT,2.7388,2.7414,2.7387,2.741,14361.0,39351.0561,483
1739659680000,2025-02-15 22:48:00,XRPUSDT,2.7391,2.7397,2.7358,2.7387,35799.0,98035.7551,961
1739659620000,2025-02-15 22:47:00,XRPUSDT,2.739,2.7391,2.7382,2.739,12599.0,34503.6414,356
1739659560000,2025-02-15 22:46:00,XRPUSDT,2.7354,2.739,2.7352,2.739,26119.0,71466.991,667
1739659500000,2025-02-15 22:45:00,XRPUSDT,2.7313,2.7354,2.7313,2.7354,22275.0,60886.6422,433
1739659440000,2025-02-15 22:44:00,XRPUSDT,2.7318,2.7323,2.731,2.7314,16334.0,44617.9003,454
1739659380000,2025-02-15 22:43:00,XRPUSDT,2.7311,2.7319,2.731,2.7319,41516.0,113390.8371,272
1739659320000,2025-02-15 22:42:00,XRPUSDT,2.7317,2.7333,2.7301,2.7311,26178.0,71514.7643,559
1739659260000,2025-02-15 22:41:00,XRPUSDT,2.7341,2.7346,2.7318,2.7318,73902.0,201989.9077,311
1739659200000,2025-02-15 22:40:00,XRPUSDT,2.734,2.7354,2.7335,2.7341,33971.0,92888.274,486
1739659140000,2025-02-15 22:39:00,XRPUSDT,2.7354,2.7354,2.7326,2.7339,27245.0,74477.0036,651
1739659080000,2025-02-15 22:38:00,XRPUSDT,2.7395,2.7396,2.7354,2.7354,28864.0,78987.5114,611
1739659020000,2025-02-15 22:37:00,XRPUSDT,2.7365,2.7397,2.7364,2.7395,34705.0,95028.3842,723
1739658960000,2025-02-15 22:36:00,XRPUSDT,2.7398,2.7398,2.7357,2.7364,16824.0,46060.9779,355
1739658900000,2025-02-15 22:35:00,XRPUSDT,2.7419,2.7419,2.7391,2.7398,26911.0,73732.7434,771
1739658840000,2025-02-15 22:34:00,XRPUSDT,2.7427,2.7427,2.7405,2.7418,23804.0,65256.5149,544
1739658780000,2025-02-15 22:33:00,XRPUSDT,2.7433,2.7433,2.7413,2.7427,46432.0,127330.2138,726
1739658720000,2025-02-15 22:32:00,XRPUSDT,2.7342,2.7436,2.7342,2.7432,249844.0,684779.1964,1838
1739658660000,2025-02-15 22:31:00,XRPUSDT,2.7272,2.7355,2.7272,2.7342,70176.0,191737.5929,1372
1739658600000,2025-02-15 22:30:00,XRPUSDT,2.732,2.7323,2.7258,2.7273,165797.0,452387.0969,1930
1739658540000,2025-02-15 22:29:00,XRPUSDT,2.7342,2.7342,2.7314,2.7321,50168.0,137091.9367,563
1739658480000,2025-02-15 22:28:00,XRPUSDT,2.7379,2.7389,2.7342,2.7343,102754.0,281175.8646,1175
1739658420000,2025-02-15 22:27:00,XRPUSDT,2.7385,2.7398,2.738,2.738,37910.0,103838.06,475
1739658360000,2025-02-15 22:26:00,XRPUSDT,2.7384,2.7385,2.7367,2.7384,38365.0,105015.7063,466
1739658300000,2025-02-15 22:25:00,XRPUSDT,2.7412,2.7412,2.7383,2.7383,74475.0,204064.8796,581
1739658240000,2025-02-15 22:24:00,XRPUSDT,2.7397,2.7412,2.7392,2.7412,52090.0,142705.3748,393
1739658180000,2025-02-15 22:23:00,XRPUSDT,2.7436,2.7436,2.7392,2.7396,90249.0,247392.7133,750
1739658120000,2025-02-15 22:22:00,XRPUSDT,2.7443,2.7444,2.7435,2.7437,45834.0,125771.8035,229
1739658060000,2025-02-15 22:21:00,XRPUSDT,2.7452,2.7453,2.7441,2.7443,25926.0,71159.6279,200
1739658000000,2025-02-15 22:20:00,XRPUSDT,2.7459,2.7459,2.7441,2.7453,14002.0,38430.9259,252
1739657940000,2025-02-15 22:19:00,XRPUSDT,2.7422,2.7459,2.7422,2.7459,31928.0,87601.2772,690
1739657880000,2025-02-15 22:18:00,XRPUSDT,2.7452,2.7452,2.742,2.7422,47846.0,131233.2276,474
1739657820000,2025-02-15 22:17:00,XRPUSDT,2.7438,2.7454,2.7433,2.7451,11704.0,32124.9487,319
